StatTrak™ USP-S | Torque (Minimal Wear)/353.8
AK-47 | Emerald Pinstripe (Well-Worn)/506.38
StatTrak™ USP-S | Cyrex (Battle-Scarred)/380.0
MP5-SD | Acid Wash (Field-Tested)/145.01
M4A4 | Cyber Security (Well-Worn)/1713.63
AWP | Pit Viper (Minimal Wear)/101.27
M4A4 | In Living Color (Battle-Scarred)/494.33
FAMAS | Djinn (Battle-Scarred)/184.01
Five-SeveN | Urban Hazard (Factory New)/142.23
AK-47 | Cartel (Battle-Scarred)/910.0
MAC-10 | Disco Tech (Well-Worn)/219.97
MP9 | Starlight Protector (Field-Tested)/489.98
★ Driver Gloves | Overtake (Field-Tested)/12611.16
StatTrak™ SG 553 | Pulse (Battle-Scarred)/380.21
